front_id,middle_id,pcb,port,middle_x_mm,middle_y_mm,back_x_mm,back_y_mm
A410,L418,33,4,206.902603,-50.0,201.415234,-36.579357
A411,L419,33,6,229.722083,-50.0,218.368405,-36.579357
A412,L420,33,8,252.541562,-50.0,235.321577,-36.579357
A413,L421,34,2,275.361041,-50.0,266.723474,-36.579357
A414,L422,34,5,298.180521,-50.0,292.153231,-36.579357
A415,L423,34,7,321.0,-50.0,309.106402,-36.579357
A416,L424,27,9,-321.0,-70.0,-317.582988,-52.424793
A417,L425,27,12,-295.32,-70.0,-292.153231,-52.424793
A418,L426,27,15,-269.64,-70.0,-266.723474,-52.424793
A419,L427,28,9,-243.96,-70.0,-235.321577,-52.424793
A420,L428,28,12,-218.28,-70.0,-209.89182,-52.424793
A421,L429,28,16,-192.6,-70.0,-175.985477,-52.424793
A422,L430,29,3,-166.92,-70.0,-136.106995,-36.579357
A423,L431,29,12,-141.24,-70.0,-127.630409,-52.424793
A424,L432,29,15,-115.56,-70.0,-102.200652,-52.424793
A425,L433,30,9,-89.88,-70.0,-70.798755,-52.424793
A426,L434,30,11,-64.2,-70.0,-53.845584,-52.424793
A427,L435,30,6,-38.52,-70.0,-28.415827,-36.579357
A428,L436,30,7,-12.84,-70.0,-19.939241,-36.579357
A429,L437,31,1,12.84,-70.0,11.462656,-36.579357
A430,L438,31,11,38.52,-70.0,28.415827,-52.424793
A431,L439,31,14,64.2,-70.0,53.845584,-52.424793
A432,L440,31,16,89.88,-70.0,70.798755,-52.424793
A433,L441,32,10,115.56,-70.0,102.200652,-52.424793
A434,L442,32,13,141.24,-70.0,127.630409,-52.424793
A435,L443,32,6,166.92,-70.0,136.106995,-36.579357
A436,L444,33,9,192.6,-70.0,175.985477,-52.424793
A437,L445,33,13,218.28,-70.0,209.89182,-52.424793
A438,L446,33,16,243.96,-70.0,235.321577,-52.424793
A439,L447,34,10,269.64,-70.0,266.723474,-52.424793
A440,L448,34,13,295.32,-70.0,292.153231,-52.424793
A441,L449,34,16,321.0,-70.0,317.582988,-52.424793
A442,L450,27,10,-321.0,-90.0,-309.106402,-52.424793
A443,L451,27,5,-298.862069,-90.0,-283.676645,-36.579357
A444,L452,27,14,-276.724138,-90.0,-275.200059,-52.424793
A445,L453,28,10,-254.586207,-90.0,-226.844991,-52.424793
A446,L454,28,11,-232.448276,-90.0,-218.368405,-52.424793
A447,L455,28,14,-210.310345,-90.0,-192.938648,-52.424793
A448,L456,29,9,-188.172414,-90.0,-153.060166,-52.424793
A449,L457,29,11,-166.034483,-90.0,-136.106995,-52.424793
A450,L458,29,14,-143.896552,-90.0,-110.677238,-52.424793
A451,L459,29,16,-121.758621,-90.0,-93.724066,-52.424793
A452,L460,30,10,-99.62069,-90.0,-62.32217,-52.424793
